name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,True
DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,DSNY Queens East 11 13A Garage,True
Douglaston,Douglaston,Douglaston,Douglaston,Douglaston,True
Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,True
Dumbo,Dumbo,Dumbo,Dumbo,Dumbo,True
Dyker Heights,Dyker Heights,Dyker Heights,Dyker Heights,Dyker Heights,True
East Elmhurst,East Elmhurst,East Elmhurst,East Elmhurst,East Elmhurst,True
East Flatbush,East Flatbush,East Flatbush,East Flatbush,East Flatbush,True
East Harlem,East Harlem,East Harlem,East Harlem,East Harlem,True
East New York,East New York,East New York,East New York,East New York,True
East Village,East Village,East Village,East Village,East Village,True
Eastchester,Eastchester,Eastchester,Eastchester,Eastchester,True
Edenwald,Edenwald,Edenwald,Edenwald,Edenwald,True
Edgemere,Edgemere,Edgemere,Edgemere,Edgemere,True
Ellis Island,Ellis Island,Ellis Island,Ellis Island,Ellis Island,True
Elmhurst,Elmhurst,Elmhurst,Elmhurst,Elmhurst,True
Far Rockaway,Far Rockaway,Far Rockaway,Far Rockaway,Far Rockaway,True
Financial District,Financial District,Financial District,Financial District,Financial District,True
Flatbush,Flatbush,Flatbush,Flatbush,Flatbush,True
Flatiron District,Flatiron District,Flatiron District,Flatiron District,Flatiron District,True
Flatlands,Flatlands,Flatlands,Flatlands,Flatlands,True
Floral Park,Floral Park,Floral Park,Floral Park,Floral Park,True
Floyd Bennet Field,Floyd Bennet Field,Floyd Bennet Field,Floyd Bennet Field,Floyd Bennet Field,True
Flushing,Flushing,Flushing,Flushing,Flushing,True
Flushng,Flushng,Flushng,Flushng,Flushng,True
Fordham,Fordham,Fordham,Fordham,Fordham,True
Fordham Heights,Fordham Heights,Fordham Heights,Fordham Heights,Fordham Heights,True
Fordham University,Fordham University,Fordham University,Fordham University,Fordham University,True
Forest Hills,Forest Hills,Forest Hills,Forest Hills,Forest Hills,True
Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,Forest Hills Gardens,True
Forest Park Shop,Forest Park Shop,Forest Park Shop,Forest Park Shop,Forest Park Shop,True
Fort Greene,Fort Greene,Fort Greene,Fort Greene,Fort Greene,True
Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,True
Fresh Meadows,Fresh Meadows,Fresh Meadows,Fresh Meadows,Fresh Meadows,True
Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,True
Glen Oaks,Glen Oaks,Glen Oaks,Glen Oaks,Glen Oaks,True
Glendale,Glendale,Glendale,Glendale,Glendale,True
Governors Island,Governors Island,Governors Island,Governors Island,Governors Island,True
Gowanus,Gowanus,Gowanus,Gowanus,Gowanus,True
Gramercy,Gramercy,Gramercy,Gramercy,Gramercy,True
Gravesend,Gravesend,Gravesend,Gravesend,Gravesend,True
Greenpoint,Greenpoint,Greenpoint,Greenpoint,Greenpoint,True
Greenwich Village,Greenwich Village,Greenwich Village,Greenwich Village,Greenwich Village,True
Hamilton Heights,Hamilton Heights,Hamilton Heights,Hamilton Heights,Hamilton Heights,True
Harlem,Harlem,Harlem,Harlem,Harlem,True
Hart Island,Hart Island,Hart Island,Hart Island,Hart Island,True
Helipads Hudson River,Helipads Hudson River,Helipads Hudson River,Helipads Hudson River,Helipads Hudson River,True
Hell's Kitchen,Hell's Kitchen,Hell's Kitchen,Hell's Kitchen,Hell's Kitchen,True
Hells Kitchen,Hells Kitchen,Hells Kitchen,Hells Kitchen,Hells Kitchen,True
High Island,High Island,High Island,High Island,High Island,True
Highbridge,Highbridge,Highbridge,Highbridge,Highbridge,True
Hollis,Hollis,Hollis,Hollis,Hollis,True
Hollis Hills,Hollis Hills,Hollis Hills,Hollis Hills,Hollis Hills,True
Holliswood,Holliswood,Holliswood,Holliswood,Holliswood,True
Howard Beach,Howard Beach,Howard Beach,Howard Beach,Howard Beach,True
Hudson Square,Hudson Square,Hudson Square,Hudson Square,Hudson Square,True
Hudson Yards,Hudson Yards,Hudson Yards,Hudson Yards,Hudson Yards,True
Hunts Point,Hunts Point,Hunts Point,Hunts Point,Hunts Point,True
Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,Hutchinson Metro Center,True
International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,International Union of Operating Engineers School,True
Inwood,Inwood,Inwood,Inwood,Inwood,True
JFK Airport,JFK Airport,JFK Airport,JFK Airport,JFK Airport,True
JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,JFK Airport Restricted Area,True
Jackson Heights,Jackson Heights,Jackson Heights,Jackson Heights,Jackson Heights,True
Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,True
Jamaica Estates,Jamaica Estates,Jamaica Estates,Jamaica Estates,Jamaica Estates,True
Jamaica Hills,Jamaica Hills,Jamaica Hills,Jamaica Hills,Jamaica Hills,True
Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,Jamaica Wastewater Treatment Plant,True
Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,Jerome Park Reservior,True
Kensington,Kensington,Kensington,Kensington,Kensington,True
Kew Gardens,Kew Gardens,Kew Gardens,Kew Gardens,Kew Gardens,True
Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,Kew Gardens Hills,True
Kingsbridge,Kingsbridge,Kingsbridge,Kingsbridge,Kingsbridge,True
Kingsbringe,Kingsbringe,Kingsbringe,Kingsbringe,Kingsbringe,True
Kips Bay,Kips Bay,Kips Bay,Kips Bay,Kips Bay,True
Laguardia Airport,Laguardia Airport,Laguardia Airport,Laguardia Airport,Laguardia Airport,True
Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,Laguardia Airport Restricted Area,True
Laurelton,Laurelton,Laurelton,Laurelton,Laurelton,True
Liberty Island,Liberty Island,Liberty Island,Liberty Island,Liberty Island,True
Little Italy,Little Italy,Little Italy,Little Italy,Little Italy,True
Little Neck,Little Neck,Little Neck,Little Neck,Little Neck,True
Long Island City,Long Island City,Long Island City,Long Island City,Long Island City,True
Long Island University,Long Island University,Long Island University,Long Island University,Long Island University,True
Longwood,Longwood,Longwood,Longwood,Longwood,True
Lower East Side,Lower East Side,Lower East Side,Lower East Side,Lower East Side,True
MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,MTA Baisley Pond Bus Depot,True
MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,MTA Flatbush Bus Depot,True
MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,MTA West Farms Bus Depot,True
Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,Manhattan Beach,True
Marble Hill,Marble Hill,Marble Hill,Marble Hill,Marble Hill,True
Marine Park,Marine Park,Marine Park,Marine Park,Marine Park,True
Maspeth,Maspeth,Maspeth,Maspeth,Maspeth,True
Meadowmere,Meadowmere,Meadowmere,Meadowmere,Meadowmere,True
Melrose,Melrose,Melrose,Melrose,Melrose,True
Middle Village,Middle Village,Middle Village,Middle Village,Middle Village,True
Midtown,Midtown,Midtown,Midtown,Midtown,True
Midwood,Midwood,Midwood,Midwood,Midwood,True
Mill Basin,Mill Basin,Mill Basin,Mill Basin,Mill Basin,True
Morningside Heights,Morningside Heights,Morningside Heights,Morningside Heights,Morningside Heights,True
Morris Heights,Morris Heights,Morris Heights,Morris Heights,Morris Heights,True
Morris Park,Morris Park,Morris Park,Morris Park,Morris Park,True
Morrisania,Morrisania,Morrisania,Morrisania,Morrisania,True
Mott Haven,Mott Haven,Mott Haven,Mott Haven,Mott Haven,True
Mount Eden,Mount Eden,Mount Eden,Mount Eden,Mount Eden,True
Mount Hope,Mount Hope,Mount Hope,Mount Hope,Mount Hope,True
Neponsit,Neponsit,Neponsit,Neponsit,Neponsit,True
Nolita,Nolita,Nolita,Nolita,Nolita,True
North Brother Island,North Brother Island,North Brother Island,North Brother Island,North Brother Island,True
North River Wastewater Treatment Plant,North River Wastewater Treatment Plant,North River Wastewater Treatment Plant,North River Wastewater Treatment Plant,North River Wastewater Treatment Plant,True
North Shore Towers,North Shore Towers,North Shore Towers,North Shore Towers,North Shore Towers,True
Norwood,Norwood,Norwood,Norwood,Norwood,True
Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,Owls Head Wastewater Treatment Plant,True
Ozone Park,Ozone Park,Ozone Park,Ozone Park,Ozone Park,True
Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,Park Maintenance,True
Park Slope,Park Slope,Park Slope,Park Slope,Park Slope,True
Parkchester,Parkchester,Parkchester,Parkchester,Parkchester,True
Pelham Bay,Pelham Bay,Pelham Bay,Pelham Bay,Pelham Bay,True
Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,Pelham Bay Landfill,True
Pelham Gardens,Pelham Gardens,Pelham Gardens,Pelham Gardens,Pelham Gardens,True
Pelham Parkway,Pelham Parkway,Pelham Parkway,Pelham Parkway,Pelham Parkway,True
Prospect Heights,Prospect Heights,Prospect Heights,Prospect Heights,Prospect Heights,True
Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,Quaker Cemetary,True
Queens College,Queens College,Queens College,Queens College,Queens College,True
Queens Village,Queens Village,Queens Village,Queens Village,Queens Village,True
RW Iron Works,RW Iron Works,RW Iron Works,RW Iron Works,RW Iron Works,True
Randall'S Island,Randall'S Island,Randall'S Island,Randall'S Island,Randall'S Island,True
Randall's Island,Randall's Island,Randall's Island,Randall's Island,Randall's Island,True
Rat Island,Rat Island,Rat Island,Rat Island,Rat Island,True
Red Hook,Red Hook,Red Hook,Red Hook,Red Hook,True
Redhook,Redhook,Redhook,Redhook,Redhook,True
Rego Park,Rego Park,Rego Park,Rego Park,Rego Park,True
Richmond Hill,Richmond Hill,Richmond Hill,Richmond Hill,Richmond Hill,True
Ridgewood,Ridgewood,Ridgewood,Ridgewood,Ridgewood,True
Rikers Island,Rikers Island,Rikers Island,Rikers Island,Rikers Island,True
Riverdale,Riverdale,Riverdale,Riverdale,Riverdale,True
Rockaway Beach,Rockaway Beach,Rockaway Beach,Rockaway Beach,Rockaway Beach,True
Rockaway Park,Rockaway Park,Rockaway Park,Rockaway Park,Rockaway Park,True
Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,Rodman Neck NYPD Firing Range,True
Roosevelt Island,Roosevelt Island,Roosevelt Island,Roosevelt Island,Roosevelt Island,True
Rosedale,Rosedale,Rosedale,Rosedale,Rosedale,True
SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,SNY2- Amazon,True
Saint Albans,Saint Albans,Saint Albans,Saint Albans,Saint Albans,True
Sea Gate,Sea Gate,Sea Gate,Sea Gate,Sea Gate,True
Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,Selby Transportation Corporation,True
Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,Sheepshead Bay,True
SoHo,SoHo,SoHo,SoHo,SoHo,True
Soundview,Soundview,Soundview,Soundview,Soundview,True
South Ozone Park,South Ozone Park,South Ozone Park,South Ozone Park,South Ozone Park,True
Spring Creek,Spring Creek,Spring Creek,Spring Creek,Spring Creek,True
Springfield Gardens,Springfield Gardens,Springfield Gardens,Springfield Gardens,Springfield Gardens,True
St. Albans,St. Albans,St. Albans,St. Albans,St. Albans,True
St. John's University,St. John's University,St. John's University,St. John's University,St. John's University,True
Stratton Park,Stratton Park,Stratton Park,Stratton Park,Stratton Park,True
Stuyvesant Town/Peter Cooper Village,Stuyvesant Town/Peter Cooper Village,Stuyvesant Town/Peter Cooper Village,Stuyvesant Town/Peter Cooper Village,Stuyvesant Town/Peter Cooper Village,True
Sunnyside,Sunnyside,Sunnyside,Sunnyside,Sunnyside,True
Sunset Park,Sunset Park,Sunset Park,Sunset Park,Sunset Park,True
The Hole,The Hole,The Hole,The Hole,The Hole,True
Throgs Neck,Throgs Neck,Throgs Neck,Throgs Neck,Throgs Neck,True
Tremont,Tremont,Tremont,Tremont,Tremont,True
Tribeca,Tribeca,Tribeca,Tribeca,Tribeca,True
Unionport,Unionport,Unionport,Unionport,Unionport,True
University Heights,University Heights,University Heights,University Heights,University Heights,True
Upper East Side,Upper East Side,Upper East Side,Upper East Side,Upper East Side,True
Upper West Side,Upper West Side,Upper West Side,Upper West Side,Upper West Side,True
Van Nest,Van Nest,Van Nest,Van Nest,Van Nest,True
Vinegar Hill,Vinegar Hill,Vinegar Hill,Vinegar Hill,Vinegar Hill,True
Wakefield,Wakefield,Wakefield,Wakefield,Wakefield,True
Washington Heights,Washington Heights,Washington Heights,Washington Heights,Washington Heights,True
West Farms,West Farms,West Farms,West Farms,West Farms,True
Westchester Square,Westchester Square,Westchester Square,Westchester Square,Westchester Square,True
Whitestone,Whitestone,Whitestone,Whitestone,Whitestone,True
Willets Point,Willets Point,Willets Point,Willets Point,Willets Point,True
Williamsbridge,Williamsbridge,Williamsbridge,Williamsbridge,Williamsbridge,True
Williamsburg,Williamsburg,Williamsburg,Williamsburg,Williamsburg,True
Windsor Terrace,Windsor Terrace,Windsor Terrace,Windsor Terrace,Windsor Terrace,True
Woodhaven,Woodhaven,Woodhaven,Woodhaven,Woodhaven,True
Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,Woodlawn Heights,True
Woodside,Woodside,Woodside,Woodside,Woodside,True
idk what this is,idk what this is,idk what this is,idk what this is,idk what this is,True
