name,admin_0,admin_1,admin_2,name_raw,is_admin_0_union
Coney Island Wastewater Treatment Plant,Sheepshead Bay,Sheepshead Bay,Coney Island Wastewater Treatment Plant,Coney Island Wastewater Treatment Plant (SHEEPSHEAD BAY),False
Crown Heights,Crown Heights,Crown Heights,Crown Heights,Crown Heights,False
DAB5 Amazon,Red Hook,Red Hook,DAB5 Amazon,DAB5 Amazon (RED HOOK),False
Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,Downtown Brooklyn,False
DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,DOT and NYPD Highway Patrol Unit 2,False
DOT Hamilton Ave Asphalt Plant,Sunset Park,Sunset Park,DOT Hamilton Ave Asphalt Plant,DOT Hamilton Ave Asphalt Plant (SUNSET PARK),False
DSNY and Cooper Recycling,Williamsburg,East Williamsburg,DSNY and Cooper Recycling,DSNY and Cooper Recycling (EAST WILLIAMSBURG)(WILLIAMSBURG)),False
DSNY Storage Yard,Greenpoint,Greenpoint,DSNY Storage Yard,DSNY Storage Yard (GREENPOINT),False
DSNY Municipal Solid Waste Facility,Sunset Park,Sunset Park,DSNY Municipal Solid Waste Facility,DSNY Municipal Solid Waste Facility (SUNSET PARK),False
Dumbo,Dumbo,Dumbo,Dumbo,DUMBO,False
Dyker Heights,Dyker Heights,Dyker Heights,Dyker Heights,Dyker Heights,False
East Flatbush,East Flatbush,East Flatbush,East Flatbush,East Flatbush,False
East New York,East New York,East New York,East New York,East New York,False
Empire Merchants,Greenpoint,Greenpoint,Empire Merchants,Empire Merchants (GREENPOINT),False
Erie Basin NYPD Impound Lot,Redhook,Redhook,Erie Basin NYPD Impound Lot,Erie Basin NYPD Impound Lot (REDHOOK),False
Exon Mobile Parking,Greenpoint,Greenpoint,Exon Mobile Parking,Exon Mobile Parking (GREENPOINT),False
Flatbush,Flatbush,Flatbush,Flatbush,Flatbush,False
Flatlands,Flatlands,Flatlands,Flatlands,Flatlands,False
Fort Greene,Fort Greene,Fort Greene,Fort Greene,Fort Greene,False
Fort Hamilton,Bay Ridge,Bay Ridge,Fort Hamilton,Fort Hamilton (BAY RIDGE),False
Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,Fort Hamilton Military Base,False
Gateway Center,Spring Creek,East New York,Gateway Center,Gateway Center (SPRING CREEK)EAST NEW YORK)),False
GBX Gowanus Bay Terminal,Red Hook,Red Hook,GBX Gowanus Bay Terminal,GBX Gowanus Bay Terminal (RED HOOK),False
Georgetown,Bergen Beach,Bergen Beach,Georgetown,Georgetown (BERGEN BEACH),False
Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,Gerritsen Beach,False
GMD Ship Repair,Brooklyn Navy Yard,Brooklyn Navy Yard,GMD Ship Repair,GMD Ship Repair (BROOKLYN NAVY YARD),False
Gowanus,Gowanus,Gowanus,Gowanus,Gowanus,False
Gravesend,Gravesend,Gravesend,Gravesend,Gravesend,False
Greenpoint,Greenpoint,Greenpoint,Greenpoint,Greenpoint,False
Kensington,Kensington,Kensington,Kensington,Kensington,False
Kinder Morgan Energy Terminal,Greenpoint,Greenpoint,Kinder Morgan Energy Terminal,Kinder Morgan Energy Terminal (GREENPOINT),False
